XQAOA,MA_QAOA,QAOA,Classical,Geomans_Williamson
890.0,762.8707858140443,762.1259717500083,879.9999930370742,902.0
892.0,762.8707843968031,762.1259717580868,881.999998431038,892.0
918.0,762.8707849513082,762.1259717572209,895.9999990558671,882.0
918.0,762.8707855868699,762.1259717576659,875.9999973305651,884.0
920.0,762.8707856162749,762.1259717580298,878.0000080877069,898.0
900.0,762.8707849003674,762.125971757858,877.9999943925114,910.0
904.0,762.8707848843103,639.9999625303525,875.9999991074733,896.0
908.0,762.8707820898226,762.1259717580587,881.9999998871406,908.0
906.0,762.8707854282908,639.9999999954009,887.999987770118,898.0
890.0,762.8707854411012,640.0000001424602,877.9999987565801,906.0
902.0,762.870785378132,762.1259717579317,857.9999952359678,876.0
912.0,762.8707849298264,762.125971756994,881.9999892869562,908.0
902.0,762.8707842467622,762.1259717580613,889.9999885633157,898.0
898.0,762.8707854294704,639.9999989895716,869.9999965234911,910.0
908.0,762.8707852736326,762.125971757841,895.999996146069,892.0
900.0,762.8707843719282,640.0000305984005,881.9999990098866,894.0
918.0,762.8707838965712,762.1259717580062,874.0000025581032,890.0
888.0,762.870785884901,762.1259717576546,883.9999945097584,902.0
892.0,762.8707847892251,762.1259717574363,873.9999900213052,880.0
902.0,762.8707830168272,762.1259717580199,880.0000084275836,878.0
908.0,762.8707839093084,762.1259717579248,874.0000022352448,888.0
900.0,762.8707848938423,639.999999999997,869.9999775192975,896.0
892.0,762.8707844627041,762.125971757453,896.0000007835548,896.0
904.0,762.8707846293329,762.1259717444251,873.9999990045147,904.0
894.0,762.8707856001247,762.1259717575665,869.999993716248,898.0
906.0,762.870783211795,639.9999999982101,875.9999453836367,890.0
904.0,762.870784349709,762.1259717578387,888.0000006475077,900.0
910.0,762.8707848778423,762.1259717573802,869.9999908784107,872.0
902.0,762.8707851239175,762.1259717578956,878.0000215616716,894.0
896.0,762.8707853072449,762.1259717580725,877.9999987160008,890.0
902.0,762.8707852455702,762.1259717580227,891.99997522395,898.0
904.0,762.8707848759518,762.1259717304946,901.9999988808945,880.0
906.0,762.8707853051424,639.9999999999891,877.9999775162298,894.0
902.0,762.8707855793496,762.1259717574063,877.9999918411498,892.0
896.0,762.8707856195045,639.9999999999999,875.9999975807514,888.0
898.0,762.870785545198,762.1259717580651,873.9999970596671,888.0
906.0,762.8707850816559,639.9999962743407,877.74545635431,912.0
898.0,762.8707848425166,762.1259717577782,871.9999873650664,868.0
902.0,762.8707852488006,762.1259717578313,873.9999998088642,906.0
888.0,762.870785040463,762.1259717575849,869.9999912773557,898.0
898.0,762.8707846474966,762.1259717559606,897.9999856899599,874.0
912.0,762.8707849033808,639.9999999998663,886.0000053764755,886.0
904.0,762.8707846429555,762.125971758061,865.9999659498469,906.0
916.0,762.8707850321988,762.1259717579833,879.999997776472,878.0
914.0,762.8707847845868,762.1259717577808,895.999997919064,902.0
914.0,762.8707855057323,639.9999992491254,885.9999950678591,888.0
908.0,762.8707856699358,762.125971757981,885.9999492230736,914.0
910.0,762.870785675045,762.1259717580479,863.999999632061,898.0
