Graph,Algorithm,Depth,MaxCut,AR,Gurobi
2,MA-QAOA$_p$,1,15.7421875,0.787109375,20.0
2,XQAOA$^{X=Y}_p$,1,19.9072265625,0.995361328125,20.0
2,QAOA$_p$,1,13.75,0.6875,20.0
2,MA-QAOA$_p$,1,15.052734375,0.75263671875,20.0
2,XQAOA$^{X=Y}_p$,1,19.8115234375,0.990576171875,20.0
2,QAOA$_p$,1,13.86328125,0.6931640625,20.0
2,MA-QAOA$_p$,1,15.341796875,0.76708984375,20.0
2,XQAOA$^{X=Y}_p$,1,19.7373046875,0.986865234375,20.0
2,QAOA$_p$,1,13.7763671875,0.688818359375,20.0
2,MA-QAOA$_p$,1,15.0068359375,0.750341796875,20.0
2,XQAOA$^{X=Y}_p$,1,19.81640625,0.9908203125,20.0
2,QAOA$_p$,1,13.755859375,0.68779296875,20.0
2,MA-QAOA$_p$,1,15.6640625,0.783203125,20.0
2,XQAOA$^{X=Y}_p$,1,19.6552734375,0.982763671875,20.0
2,QAOA$_p$,1,13.763671875,0.68818359375,20.0
2,MA-QAOA$_p$,1,15.248046875,0.76240234375,20.0
2,XQAOA$^{X=Y}_p$,1,19.8408203125,0.992041015625,20.0
2,QAOA$_p$,1,13.7919921875,0.689599609375,20.0
2,MA-QAOA$_p$,1,15.9482421875,0.797412109375,20.0
2,XQAOA$^{X=Y}_p$,1,19.8583984375,0.992919921875,20.0
2,QAOA$_p$,1,13.833984375,0.69169921875,20.0
2,MA-QAOA$_p$,1,13.966796875,0.69833984375,20.0
2,XQAOA$^{X=Y}_p$,1,19.8759765625,0.993798828125,20.0
2,QAOA$_p$,1,13.7646484375,0.688232421875,20.0
2,MA-QAOA$_p$,1,14.943359375,0.74716796875,20.0
2,XQAOA$^{X=Y}_p$,1,19.8271484375,0.991357421875,20.0
2,QAOA$_p$,1,13.7900390625,0.689501953125,20.0
2,MA-QAOA$_p$,1,15.9228515625,0.796142578125,20.0
2,XQAOA$^{X=Y}_p$,1,19.8427734375,0.992138671875,20.0
2,QAOA$_p$,2,13.84765625,0.6923828125,20.0
2,MA-QAOA$_p$,2,17.376953125,0.86884765625,20.0
2,XQAOA$^{X=Y}_p$,2,19.375,0.96875,20.0
2,QAOA$_p$,2,13.8857421875,0.694287109375,20.0
2,MA-QAOA$_p$,2,15.6201171875,0.781005859375,20.0
2,XQAOA$^{X=Y}_p$,2,19.248046875,0.96240234375,20.0
2,QAOA$_p$,2,13.9775390625,0.698876953125,20.0
2,MA-QAOA$_p$,2,16.0478515625,0.802392578125,20.0
2,XQAOA$^{X=Y}_p$,2,19.603515625,0.98017578125,20.0
2,QAOA$_p$,2,13.7744140625,0.688720703125,20.0
2,MA-QAOA$_p$,2,17.02734375,0.8513671875,20.0
2,XQAOA$^{X=Y}_p$,2,16.650390625,0.83251953125,20.0
2,QAOA$_p$,2,13.7001953125,0.685009765625,20.0
2,MA-QAOA$_p$,2,16.25390625,0.8126953125,20.0
2,XQAOA$^{X=Y}_p$,2,19.5400390625,0.977001953125,20.0
2,QAOA$_p$,2,13.7158203125,0.685791015625,20.0
2,MA-QAOA$_p$,2,16.5166015625,0.825830078125,20.0
2,XQAOA$^{X=Y}_p$,2,19.5634765625,0.978173828125,20.0
2,QAOA$_p$,2,13.8818359375,0.694091796875,20.0
2,MA-QAOA$_p$,2,16.9677734375,0.848388671875,20.0
2,XQAOA$^{X=Y}_p$,2,19.2939453125,0.964697265625,20.0
2,QAOA$_p$,2,13.6591796875,0.682958984375,20.0
2,MA-QAOA$_p$,2,16.17578125,0.8087890625,20.0
2,XQAOA$^{X=Y}_p$,2,18.271484375,0.91357421875,20.0
2,QAOA$_p$,2,13.8681640625,0.693408203125,20.0
2,MA-QAOA$_p$,2,16.1357421875,0.806787109375,20.0
2,XQAOA$^{X=Y}_p$,2,19.6123046875,0.980615234375,20.0
2,QAOA$_p$,2,13.78125,0.6890625,20.0
2,MA-QAOA$_p$,2,16.861328125,0.84306640625,20.0
2,XQAOA$^{X=Y}_p$,2,19.1337890625,0.956689453125,20.0
2,QAOA$_p$,3,13.82421875,0.6912109375,20.0
2,MA-QAOA$_p$,3,16.1533203125,0.807666015625,20.0
2,XQAOA$^{X=Y}_p$,3,14.8212890625,0.741064453125,20.0
2,QAOA$_p$,3,13.7353515625,0.686767578125,20.0
2,MA-QAOA$_p$,3,16.703125,0.83515625,20.0
2,XQAOA$^{X=Y}_p$,3,18.8837890625,0.944189453125,20.0
2,QAOA$_p$,3,14.12890625,0.7064453125,20.0
2,MA-QAOA$_p$,3,15.2587890625,0.762939453125,20.0
2,XQAOA$^{X=Y}_p$,3,18.6484375,0.932421875,20.0
2,QAOA$_p$,3,13.873046875,0.69365234375,20.0
2,MA-QAOA$_p$,3,15.470703125,0.77353515625,20.0
2,XQAOA$^{X=Y}_p$,3,18.7236328125,0.936181640625,20.0
2,QAOA$_p$,3,13.732421875,0.68662109375,20.0
2,MA-QAOA$_p$,3,16.69921875,0.8349609375,20.0
2,XQAOA$^{X=Y}_p$,3,19.0,0.95,20.0
2,QAOA$_p$,3,13.80859375,0.6904296875,20.0
2,MA-QAOA$_p$,3,15.3974609375,0.769873046875,20.0
2,XQAOA$^{X=Y}_p$,3,16.6279296875,0.831396484375,20.0
2,QAOA$_p$,3,13.9404296875,0.697021484375,20.0
2,MA-QAOA$_p$,3,17.3486328125,0.867431640625,20.0
2,XQAOA$^{X=Y}_p$,3,18.24609375,0.9123046875,20.0
2,QAOA$_p$,3,14.0234375,0.701171875,20.0
2,MA-QAOA$_p$,3,15.857421875,0.79287109375,20.0
2,XQAOA$^{X=Y}_p$,3,17.8525390625,0.892626953125,20.0
2,QAOA$_p$,3,13.9580078125,0.697900390625,20.0
2,MA-QAOA$_p$,3,15.5458984375,0.777294921875,20.0
2,XQAOA$^{X=Y}_p$,3,13.783203125,0.68916015625,20.0
2,QAOA$_p$,3,14.041015625,0.70205078125,20.0
2,MA-QAOA$_p$,3,15.94921875,0.7974609375,20.0
2,XQAOA$^{X=Y}_p$,3,18.2421875,0.912109375,20.0
2,QAOA$_p$,4,13.7568359375,0.687841796875,20.0
2,QAOA$_p$,4,14.009765625,0.70048828125,20.0
2,QAOA$_p$,4,14.0439453125,0.702197265625,20.0
2,QAOA$_p$,4,13.9091796875,0.695458984375,20.0
2,QAOA$_p$,4,14.005859375,0.70029296875,20.0
2,QAOA$_p$,4,13.9501953125,0.697509765625,20.0
2,QAOA$_p$,4,13.94921875,0.6974609375,20.0
2,QAOA$_p$,4,14.0888671875,0.704443359375,20.0
2,QAOA$_p$,4,13.9296875,0.696484375,20.0
